number,title,status,section,equation,variables,intuition,relevance
16,ARCH(p) Conditional Variance Model,ok,"Alpha, Beta, Volatility & ARCH/GARCH",Var(R_t | ...) = sigma_t^2 = a_0 + a_1 R_{t-1}^2 + ... + a_p R_{t-p}^2,R_t = return at time t  ;  sigma_t^2 = conditional variance at time t  ;  alpha_0 = constant variance term  ;  alpha_j = lag coefficient on squared returns  ;  p = ARCH order,Volatility today depends on recent squared returns.,Captures volatility clustering in financial markets.
17,"GARCH(p, q) Conditional Variance Model",ok,"Alpha, Beta, Volatility & ARCH/GARCH",sigma_t^2 = a_0 + sum_j a_j R_{t-j}^2 + sum_j b_j sigma_{t-j}^2,"sigma_t^2 = current conditional variance  ;  R_{t-j}^2 = lagged squared return shock  ;  sigma_{t-j}^2 = lagged conditional variance  ;  alpha_j = ARCH coefficients  ;  beta_j = GARCH coefficients  ;  p, q = lag orders",Volatility depends on recent shocks and its own past values.,Standard volatility forecasting model in risk management and derivatives.
18,Supervised Learning Training Set,ok,"Supervised Learning, Regression & Classification","{ (x_1,y_1), (x_2,y_2), ..., (x_N,y_N) }",x_i = input feature vector for sample i  ;  y_i = label / target for sample i  ;  N = number of training examples,Supervised learning trains on examples where inputs and correct outputs are known.,"Foundation for regression, classification, and predictive trading models."
19,General Supervised Learning Objective,ok,"Supervised Learning, Regression & Classification","min L(y, yhat),  yhat_i = f(x_i)",L = loss / objective function  ;  y = true output  ;  yhat = predicted output  ;  f = learned model  ;  x_i = input features,Train the model by minimizing the gap between predictions and true labels.,Core of model fitting in machine learning.
20,Mean Squared Error (MSE),ok,"Supervised Learning, Regression & Classification","L(y,yhat) = (1/N) sum (y_i - yhat_i)^2",N = number of observations  ;  y_i = actual value  ;  yhat_i = predicted value,"Penalizes prediction errors, with larger errors penalized more heavily.","Common regression loss for forecasting prices, returns, volatility, or signals."
21,Logistic / Sigmoid Function,ok,"Supervised Learning, Regression & Classification",sigma(z) = 1 / (1 + e^{-z}),"sigma(z) = sigmoid output in (0, 1)  ;  z = real-valued input score / logit",Squashes any real number into a probability-like value between 0 and 1.,Used in binary classification and neural-network activations.
22,Binary Logistic Prediction Probability,ok,"Supervised Learning, Regression & Classification",p(y_i = 1 | x_i) = sigma(w^T x_i),p = predicted probability  ;  y_i = binary label  ;  x_i = input features  ;  w = weight vector  ;  sigma = sigmoid function,A linear score is converted into the probability of class 1.,Basis for logistic regression and binary classifiers in finance.
23,Logit Representation,ok,"Supervised Learning, Regression & Classification",logit(phat_i) = log( phat_i / (1 - phat_i) ) = w^T x_i,phat_i = predicted probability  ;  w^T x_i = linear score (log-odds),The log-odds of the positive class are modeled as a linear function of features.,Makes logistic regression interpretable through odds ratios.
24,Binary Cross-Entropy for One Observation,ok,"Supervised Learning, Regression & Classification",-( y log(p) + (1-y) log(1-p) ),y = true binary label  ;  p = predicted probability of y = 1,Penalizes confident wrong predictions heavily.,Standard loss for binary classification in ML trading signals.
25,Binary Cross-Entropy Loss over N Observations,ok,"Supervised Learning, Regression & Classification","L(y,phat) = - sum [ y_i log(phat_i) + (1-y_i) log(1-phat_i) ]",N = number of samples  ;  y_i = true binary label  ;  phat_i = predicted probability,Adds classification error penalties across all samples.,"Used for event prediction, fraud, default, and up/down movement classification."
26,Multi-Class Cross-Entropy Loss,ok,"Supervised Learning, Regression & Classification","sum_c y_{o,c} log(p_{o,c})","M = number of classes  ;  y_{o,c} = indicator that observation o belongs to class c  ;  p_{o,c} = predicted probability for class c",Scores how much probability the model assigns to the correct class.,Used for multi-class tasks such as regime labels or trade-action categories.
27,Misclassification Rate,ok,"Supervised Learning, Regression & Classification",rate = (1/N) sum 1{ y_i != yhat_i },N = number of samples  ;  y_i = true class  ;  yhat_i = predicted class  ;  1{ . } = indicator equal to 1 when the condition is true,Measures the fraction of predictions that are wrong.,Simple classification evaluation metric.
28,True Positive Rate and False Positive Rate for ROC,verify,"Supervised Learning, Regression & Classification",TPR = TP/(TP+FN);   FPR = FP/(FP+TN),TP = true positives  ;  FN = false negatives  ;  FP = false positives  ;  TN = true negatives  ;  TPR = sensitivity / recall (y-axis of ROC)  ;  FPR = 1 - specificity (x-axis of ROC),TPR is the share of real positives caught; FPR is the share of negatives wrongly flagged. The ROC curve plots TPR vs FPR across thresholds; AUC summarises it.,"Threshold-free way to judge classifiers on imbalanced financial events (defaults, fraud, regime flips). Standard textbook form shown; the exact source equation was not supplied - verify against your source."
29,Linear Model / Single Neuron Output,ok,Fully Connected Networks & Optimization,y = w^T x + b,y = output prediction  ;  w = weight vector  ;  x = input vector  ;  b = bias / intercept,A neuron computes a weighted sum of inputs plus a bias.,Basic building block of linear regression and neural networks.
30,Linear Regression Least-Squares Objective,ok,Fully Connected Networks & Optimization,L = (1/N) sum (y_i - yhat_i)^2,N = number of observations  ;  y_i = actual value  ;  yhat_i = predicted value (= w^T x_i + b),Fit the linear model by minimizing average squared prediction error.,Links classical regression to neural-network training.
31,First-Order Optimality Conditions,ok,Fully Connected Networks & Optimization,dL/dw = 0  and  dL/db = 0,L = loss  ;  w = weights  ;  b = bias,"At the optimum, small changes in weights or bias no longer reduce loss.",Classical optimization condition that defines the best-fit parameters.
32,Closed-Form Linear Regression (Normal Equation),ok,Fully Connected Networks & Optimization,w = (X^T X)^{-1} X^T y,"X = design matrix (rows = samples, cols = features)  ;  y = target vector  ;  w = estimated coefficients",Closed-form solution for ordinary least squares when X^T X is invertible.,Baseline for regression before iterative ML optimization.
33,Gradient Descent Updates for w and b,ok,Fully Connected Networks & Optimization,w <- w - a dL/dw;   b <- b - a dL/db,"alpha = learning rate (step size)  ;  L = loss  ;  w, b = model parameters",Move parameters a small step in the direction that reduces loss.,Foundation of neural-network training.
34,First Hidden Layer of a Fully Connected Network,ok,Fully Connected Networks & Optimization,h^(1) = g^(1)( W^(1) x + b^(1) ),h^(1) = first hidden-layer activations  ;  g^(1) = activation function  ;  W^(1) = first-layer weight matrix  ;  x = input vector  ;  b^(1) = first-layer bias vector,"Transform inputs through weights, bias, and a nonlinear activation.",Basic fully connected neural-network layer.
35,l-th Hidden Layer of a Fully Connected Network,ok,Fully Connected Networks & Optimization,h^(l) = g^(l)( W^(l) h^(l-1) + b^(l) ),l = layer index  ;  h^(l) = hidden representation at layer l  ;  W^(l) = layer weights  ;  b^(l) = layer biases  ;  g^(l) = activation function,Each layer transforms the representation produced by the previous layer.,Deep neural networks stack these transformations to learn rich features.
36,Standard Convolution Operation,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention","S(i,j) = (X*K)(i,j) = sum_m sum_n X(i+m,j+n) K(m,n)","X = input matrix  ;  K = convolution kernel / filter  ;  S(i,j) = output feature map at location (i, j)  ;  m, n = kernel indices",A small filter slides across the input to detect local patterns.,Used in CNNs and time-series feature extraction.
37,Dilated Convolution / WaveNet Convolution,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention","(X *_d k)(i) = sum_m sum_j w_k(j,m)^{l-1} (i - d*j, m)","d = dilation factor (gap between sampled points)  ;  k = convolution filter  ;  i = time / location index  ;  w_k(j,m) = filter weights  ;  M_l = number of channels / filters",A dilated convolution skips positions to capture longer-range dependencies cheaply.,Useful for long time-series context without huge kernels (WaveNet-style models).
38,WaveNet Layer with ReLU and Dilated Convolution,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention",f^l = ReLU( W_f^l *_d f^{l-1} + b_f ),f^l = layer-l output  ;  W_f^l = convolution weights  ;  *_d = dilated convolution  ;  b_f = bias  ;  ReLU = rectified-linear activation,Apply a dilated convolution then a nonlinearity to model sequential patterns.,Building block of temporal-convolution forecasting architectures.
39,Autoregressive Forecasting Form,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention",E[x_{t+1}|...] = b_1 x_{t-r} + ... + b_r x_t,x_t = current value  ;  r = lookback length  ;  beta_j = autoregressive coefficient,Forecast the next value using a weighted combination of recent history.,Classical forecasting idea that deep sequence models generalize nonlinearly.
40,Recurrent Neural Network Hidden State Update,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention",h_t = g(W_h h_{t-1} + W_x x_t + b),"h_t = current hidden state  ;  h_{t-1} = previous hidden state  ;  x_t = current input  ;  W_h = recurrent weights  ;  W_x = input weights  ;  b = bias,  g = activation",An RNN updates its memory using the previous memory and the current input.,Sequence modeling for time-series and NLP.
41,"LSTM Input, Output, and Forget Gates",ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention","i_t,o_t,f_t = sigma(W_h h_{t-1} + W_x x_t + b)","i_t = input gate  ;  o_t = output gate  ;  f_t = forget gate  ;  sigma = sigmoid  ;  h_{t-1} = previous hidden state  ;  x_t = current input  ;  W, b = gate weights and biases","The LSTM uses gates to decide what to keep, forget, and output.",Handles longer dependencies than basic RNNs.
42,LSTM Cell State and Hidden State Update,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention",c_t = f_t (.) c_{t-1} + i_t (.) tanh(...);  h_t = o_t (.) tanh(c_t),"c_t = cell state (long-term memory)  ;  h_t = hidden state (exposed output)  ;  (.) = element-wise (Hadamard) product  ;  f_t, i_t, o_t = forget, input, output gates",The cell state carries memory forward; the hidden state exposes the useful output.,Standard long-memory recurrent model for financial sequences.
43,"GRU Gates, Candidate, and Hidden State",ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention","z_t,r_t gates; h~_t candidate; h_t = (1-z_t)h_{t-1}+z_t h~_t",z_t = update gate  ;  r_t = reset gate  ;  h~_t = candidate hidden state  ;  h_t = new hidden state  ;  (.) = element-wise product,GRUs simplify LSTMs by merging memory mechanisms into fewer gates.,Efficient sequence model for financial time-series.
44,Seq2Seq Encoder Hidden State,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention","h_t = f(h_{t-1}, x_t)",h_t = encoder hidden state  ;  h_{t-1} = previous hidden state  ;  x_t = input at time t  ;  f = recurrent encoder function,The encoder reads the input sequence step by step into a summary state.,Used for multi-horizon forecasting and sequence-to-sequence mapping.
45,Seq2Seq Decoder Hidden State,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention","h'_t = f(h'_{t-1}, y_{t-1}, c)",h'_t = decoder hidden state  ;  h'_{t-1} = previous decoder state  ;  y_{t-1} = previous output  ;  c = context vector from the encoder,"The decoder generates outputs using its prior state, prior output, and encoded context.",Forecasts future sequences from historical sequences.
46,Seq2Seq Output Distribution,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention","P(y_t | y_{<t}, c) = g(h'_t, c)",P = probability distribution over the next output  ;  g = output mapping (often softmax)  ;  h'_t = decoder state  ;  c = context vector,The decoder converts its state and the context into a prediction.,Used for sequence generation and forecasting.
47,Softmax Function,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention",softmax(z_i) = e^{z_i} / sum_j e^{z_j},z_i = score / logit for class i  ;  K = number of classes,Converts a vector of scores into probabilities that sum to one.,Used for classification and sequence-output distributions.
48,Attention Encoder Hidden State,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention","h_t = f(h_{t-1}, x_t)",h_t = encoder hidden state  ;  h_{t-1} = previous hidden state  ;  x_t = input at time t  ;  f = recurrent encoder function,Attention still begins by encoding each input step into a hidden state.,Attention then compares decoder states to all encoder states (not just the last).
49,Attention Context Vector and Weights,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention","c_t = sum_i alpha_{t,i} h_i;  alpha = softmax(e(h'_{t-1},h_i))","c_t = context vector at decoder step t  ;  alpha_{t,i} = attention weight on encoder state i  ;  h_i = encoder hidden state  ;  h'_{t-1} = previous decoder hidden state  ;  e(.) = attention scoring function  ;  T = input sequence length",The model builds a context vector by focusing more on the relevant input time steps.,Improves long-sequence modeling and gives interpretable focus weights.
50,"Attention Score Functions: Dot, General, Concat",ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention",e = h_i^T h'; or h_i^T W_a h'; or tanh(W_a[h_i;h']),"W_a = learned attention weight matrix  ;  [ ; ] = vector concatenation  ;  h_i = encoder state, h'_{t-1} = decoder state",Different ways to measure how relevant an input state is to the decoder state.,The scoring choice shapes how attention-based sequence models align inputs and outputs.
51,Attention Decoder State and Output,ok,"CNNs, RNNs, LSTMs, GRUs, Seq2Seq & Attention","h'_t = f(h'_{t-1}, y_{t-1}, c_t);  P(y_t|...) = g(h'_t, c_t)",c_t = time-specific attention context  ;  h'_t = decoder hidden state  ;  y_{t-1} = previous output,"The decoder receives a different, freshly-focused context at each output step.",Key improvement over fixed-context Seq2Seq for long sequences.
52,Transformer Positional Encoding,ok,Transformers,"PE(pos,2i)=sin(pos/10000^{2i/d}); PE(pos,2i+1)=cos(...)",pos = position in the sequence  ;  i = embedding dimension index  ;  d_model = embedding dimension,Injects order information into transformer inputs via sinusoids of varying frequency.,Transformers need position encodings because self-attention alone is order-agnostic.
53,"Query, Key, and Value Projections",ok,Transformers,Q_i=W^Q x_i; K_i=W^K x_i; V_i=W^V x_i,"Q_i = query vector  ;  K_i = key vector  ;  V_i = value vector  ;  x_i = token / timestamp embedding  ;  W^Q, W^K, W^V = learned projection matrices","Each input is transformed into vectors used to ask, match, and carry information.",Foundation of self-attention.
54,Scaled Dot-Product Attention Weights,ok,Transformers,"attn(x_i,x_j) = softmax( Q_i^T K_j / sqrt(d_k) )",Q_i = query for token i  ;  K_j = key for token j  ;  d_k = key dimension (scaling factor),"Computes how much token i should attend to token j, scaled for stable gradients.",The core transformer operation.
55,Attention Output as Weighted Sum of Values,ok,Transformers,"output_i = sum_j attn(x_i,x_j) V_j",V_j = value vector for token j  ;  output_i = attended representation for token i,The output is a weighted blend of value vectors from the most relevant tokens.,Lets each timestamp / token borrow information from any other position.
56,Single Attention Head,ok,Transformers,"head_h = Attention(Q^h, K^h, V^h)","h = attention-head index  ;  Q^h, K^h, V^h = query/key/value projections for head h",Each attention head learns a different relationship pattern.,Multi-head attention captures multiple dependencies simultaneously.
57,Multi-Head Attention Concatenation,ok,Transformers,"MultiHead = Concat(head_1,...,head_H) W^O",H = number of heads  ;  W^O = output projection matrix,Combine the outputs of multiple attention heads into one representation.,Improves representational capacity over single-head attention.
58,Transformer Feed-Forward Network,ok,Transformers,"FFN(x) = max(0, x W_1 + b_1) W_2 + b_2","W_1, W_2 = trainable weight matrices  ;  b_1, b_2 = biases  ;  max(0, .) = ReLU activation",Each token is independently passed through a small two-layer neural network.,Adds nonlinear feature transformation after attention.
59,Residual Connection plus Layer Normalization,ok,Transformers,LayerNorm(x + Sublayer(x)),x = sublayer input  ;  Sublayer(x) = attention or feed-forward output,Add the original input back (residual) and normalize for stable training.,Critical for training deep transformer stacks.
60,Decoder Attention Score,ok,Transformers,"score(x_i,x_j) = Q_i^T K_j",Q_i = query  ;  K_j = key,Raw similarity score between decoder positions before scaling and masking.,Starting point for masked self-attention in the decoder.
61,Masked Decoder Attention Score,ok,Transformers,"masked = Q_i^T K_j / sqrt(d_k) + M_{i,j}","M_{i,j} = mask value (-inf for future positions)  ;  d_k = key dimension",Adds a mask that drives future positions to minus infinity before softmax.,Maintains autoregressive generation - no peeking at the future.
62,Masked Decoder Attention Weights,ok,Transformers,attn = softmax(masked score),masked score = scaled score plus mask (Eq. 61),"After softmax, masked future tokens receive zero probability.",Prevents look-ahead bias in generation and forecasting.
63,Decoder Attention Output,ok,Transformers,"output_i = sum_j attn(x_i,x_j) V_j",V_j = value vector  ;  attn = masked attention weights,The decoder output uses only allowed past / current information.,Essential for time-ordered prediction.
64,Cross-Attention Head,ok,Transformers,"head_h = Attention(Q^h_dec, K^h_enc, V^h_enc)","Q_dec = decoder query  ;  K_enc, V_enc = encoder key and value",The decoder attends to the encoder's outputs.,Connects input-sequence information to output generation.
65,Decoder Multi-Head Cross-Attention Output,ok,Transformers,"out = Concat(head_1,...,head_h) W^O",head_k = cross-attention heads  ;  W^O = output projection matrix,Combines several cross-attention views into one representation.,Improves sequence-to-sequence forecasting / generation.
66,Decoder Feed-Forward Network,ok,Transformers,"FFN(x_i) = max(0, x_i W_1 + b_1) W_2 + b_2","W_1, W_2 = trainable matrices  ;  b_1, b_2 = biases",Transforms each decoder token representation independently.,Decoder refinement step after cross-attention.
67,Decoder Residual plus Layer Normalization,ok,Transformers,LayerNorm(x + Sublayer(x)),x = sublayer input  ;  Sublayer(x) = decoder attention or FFN output,Stabilizes decoder training with residual paths and normalization.,Required in every transformer decoder block.
68,"Graph Definition G = (V, E)",ok,Graph Neural Networks,"G = (V, E),  e_ij = (v_i, v_j) in E","G = graph  ;  V = set of nodes {v_1, ..., v_n}  ;  E = set of edges  ;  e_ij = edge connecting nodes v_i and v_j",A graph is a set of objects (nodes) and the relationships (edges) between them.,"Models relationships between companies, assets, sectors, or institutions."
69,Graph Convolutional Network Layer Update,ok,Graph Neural Networks,H^{l+1} = sigma( Dhat^{-1/2} Ahat Dhat^{-1/2} H^l W^l ),H^(l) = node feature matrix at layer l  (H^(0) = X)  ;  Ahat = A + I_N  (adjacency with self-loops)  ;  Dhat = degree matrix of Ahat  ;  W^(l) = weight matrix at layer l  ;  sigma = nonlinear activation (e.g. ReLU),Each node updates its representation by blending information from its neighbors.,Models asset interdependence and network / spillover effects.
70,Volatility Targeting Adjustment Factor,ok,Classical Trading Strategy Equations,A = sigma_target / sigma_current,A = position adjustment factor  ;  sigma_target = desired target volatility  ;  sigma_current = current / historical volatility estimate,Scale exposure up when volatility is low and down when volatility is high.,Core risk-control technique in systematic trading.
71,Time-Series Momentum Return,ok,Classical Trading Strategy Equations,"r_TSMOM = sign(r_{t-k:t}) (sigma_tgt/sigma_t) r_{t,t+1}","i = instrument  ;  k = lookback period  ;  r^i_{t-k:t} = past return over lookback window  ;  sign(.) = direction signal (+1 / -1)  ;  sigma_tgt = target volatility, sigma^i_t = current vol  ;  r^i_{t,t+1} = next-period return","Go long if the past trend is positive, short if negative, and scale by volatility.",Classical trend-following strategy.
72,Simple Moving Average Crossover Signal,ok,Classical Trading Strategy Equations,"Y_t = SMA(t,K1) - SMA(t,K2);  SMA(t,K)=(1/K) sum p_{t-i}","Y_t = crossover signal  ;  K_1, K_2 = lookback windows (K_1 < K_2)  ;  p_t = price at time t",Compare a short-term average to a long-term average to detect trend.,Classic technical trading signal.
73,MACD / EWMA Signal,ok,Classical Trading Strategy Equations,"Y_t = EWMA(t,S) - EWMA(t,L);  EWMA = a p_t + (1-a)EWMA_{t-1}","S = short time scale, L = long time scale  ;  alpha = smoothing factor  ;  p_t = price at time t",MACD compares short and long exponentially-weighted trends.,Widely used momentum / trend indicator.
74,Combined MACD Signal,ok,Classical Trading Strategy Equations,"Yhat_t = sum_{k=1}^3 Y_t(S_k, L_k)",S_k = short lookback for signal k  ;  L_k = long lookback for signal k,Combine multiple MACD signals across different time scales.,Diversifies trend-signal horizons.
75,Interest Rate Differential,ok,Classical Trading Strategy Equations,IRD = i^A - i^B,i^A = interest rate of currency A  ;  i^B = interest rate of currency B  ;  IRD = interest rate differential,Carry is earned from the difference between currency interest rates.,Basis of FX carry strategies.
76,Carry Trade Daily Interest Earned,ok,Classical Trading Strategy Equations,I = ((i^A - i^B) * C * l) / 365,"I = interest earned per day  ;  C = notional capital  ;  l = leverage  ;  i^A, i^B = interest rates","Daily carry equals the rate spread times notional and leverage, divided by 365.",Quantifies expected carry income.
77,Equally Weighted Long-Only Vol-Targeted Portfolio,ok,Classical Trading Strategy Equations,"r^p_t = (1/N_t) sum (sigma_tgt/sigma^i_t) r^i_{t,t+1}","r^p_t = portfolio return  ;  N_t = number of assets  ;  sigma_tgt = target volatility  ;  sigma^i_t = asset volatility  ;  r^i_{t,t+1} = asset return",Average across assets while scaling each one by its volatility.,Baseline long-only risk-controlled strategy.
78,Net Exposure,ok,Classical Trading Strategy Equations,Net = (Long - Short) / Portfolio Value,V_long = dollar value of long positions  ;  V_short = dollar value of short positions  ;  V_portfolio = total capital,Measures how much net market direction the portfolio carries.,Long-short and market-neutral risk management.
79,Long-Short Portfolio Return,ok,Classical Trading Strategy Equations,r^p = w_L r^L - w_S r^S,w_L = weight of long positions  ;  w_S = weight of short positions  ;  r^L = long-basket return  ;  r^S = short-basket return,Portfolio return equals weighted long returns minus weighted short returns.,Core long-short strategy equation.
80,Deep Momentum Network Position Function,ok,Deep Momentum & Cross-Sectional Momentum,w_i^t = f(u_i^t; theta),w_i^t = position / weight for asset i at time t  ;  u_i^t = market features  ;  theta = neural-network parameters  ;  f = predictive network,A neural network directly outputs trading positions from market features.,End-to-end strategy learning (Deep Momentum Networks).
81,Deep Momentum Network Return Loss and Sharpe Loss,ok,Deep Momentum & Cross-Sectional Momentum,L_returns = -mean R; L_sharpe = -mean R sqrt(252)/std R,"mu_R = average strategy return  ;  R(i,t) = strategy return for asset i at time t  ;  Omega = universe of observations, N = sample size  ;  w_i^t = model position  ;  sigma_tgt = target vol, sigma^i_t = asset vol",Train the model to maximize returns or the Sharpe ratio directly.,Direct optimization of trading objectives (not just prediction error).
